presenter_name,presenter_institution,presentation_title,session_title,session_description
Jennifer Cunningham,Kent State University at Stark,NA,"Expanding Research Voices in Online Writing Instruction: Developing Plans, Building Projects, Finding Collaborators","Sponsored by the Online Writing Instruction Standing Group Participants will develop research projects in the area of online writing instruction (OWI) and form collaborative connections with colleagues, led by members of the OWI Standing Group. All participants should bring laptops or tablets."
Beth Hewett,Defend & Publish,NA,"Expanding Research Voices in Online Writing Instruction: Developing Plans, Building Projects, Finding Collaborators","Sponsored by the Online Writing Instruction Standing Group Participants will develop research projects in the area of online writing instruction (OWI) and form collaborative connections with colleagues, led by members of the OWI Standing Group. All participants should bring laptops or tablets."
Sushil Oswal,University of Washington,NA,"Expanding Research Voices in Online Writing Instruction: Developing Plans, Building Projects, Finding Collaborators","Sponsored by the Online Writing Instruction Standing Group Participants will develop research projects in the area of online writing instruction (OWI) and form collaborative connections with colleagues, led by members of the OWI Standing Group. All participants should bring laptops or tablets."
Rich Rice,Texas Tech University,NA,"Expanding Research Voices in Online Writing Instruction: Developing Plans, Building Projects, Finding Collaborators","Sponsored by the Online Writing Instruction Standing Group Participants will develop research projects in the area of online writing instruction (OWI) and form collaborative connections with colleagues, led by members of the OWI Standing Group. All participants should bring laptops or tablets."
Jason Snart,College of DuPage,NA,"Expanding Research Voices in Online Writing Instruction: Developing Plans, Building Projects, Finding Collaborators","Sponsored by the Online Writing Instruction Standing Group Participants will develop research projects in the area of online writing instruction (OWI) and form collaborative connections with colleagues, led by members of the OWI Standing Group. All participants should bring laptops or tablets."
Scott Warnock,Drexel University,NA,"Expanding Research Voices in Online Writing Instruction: Developing Plans, Building Projects, Finding Collaborators","Sponsored by the Online Writing Instruction Standing Group Participants will develop research projects in the area of online writing instruction (OWI) and form collaborative connections with colleagues, led by members of the OWI Standing Group. All participants should bring laptops or tablets."
DÃ nielle Nicole DeVoss,Michigan State University/WRAC,NA,"Information Literacy and Intellectual Property in Writing Programs: Teaching Authorship, Citation, and Copyright beyond First-Year Writing","Sponsored by the Caucus on Intellectual Property and Composition/ Communication Studies This workshop will focus on information literacy and intellectual property in the context of writing certificates, minors, and majors."
Alice Myatt,University of Mississippi,NA,"Information Literacy and Intellectual Property in Writing Programs: Teaching Authorship, Citation, and Copyright beyond First-Year Writing","Sponsored by the Caucus on Intellectual Property and Composition/ Communication Studies This workshop will focus on information literacy and intellectual property in the context of writing certificates, minors, and majors."
Jessica Reyman,Northern Illinois University,NA,"Information Literacy and Intellectual Property in Writing Programs: Teaching Authorship, Citation, and Copyright beyond First-Year Writing","Sponsored by the Caucus on Intellectual Property and Composition/ Communication Studies This workshop will focus on information literacy and intellectual property in the context of writing certificates, minors, and majors."
Jeremy Schnieder,Morningside College,NA,"Information Literacy and Intellectual Property in Writing Programs: Teaching Authorship, Citation, and Copyright beyond First-Year Writing","Sponsored by the Caucus on Intellectual Property and Composition/ Communication Studies This workshop will focus on information literacy and intellectual property in the context of writing certificates, minors, and majors."
Veronica House,University of Colorado,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop."
Paula Mathieu,Boston College,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop."
Ellen Cushman,Northeastern University,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop."
Paul Feigenbaum,Florida International University,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop."
Eli Goldblatt,Temple University,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop."
Tobi Jacobi,Colorado State University,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop."
Beverly Moss,Ohio State University,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop."
Deborah Mutnick,Long Island University,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop."
