presenter_name,presenter_affiliation,presentation_title,session_title,session_description,year
Jennifer Cunningham,Kent State University at Stark,NA,"Expanding Research Voices in Online Writing Instruction: Developing Plans, Building Projects, Finding Collaborators","Sponsored by the Online Writing Instruction Standing Group Participants will develop research projects in the area of online writing instruction (OWI) and form collaborative connections with colleagues, led by members of the OWI Standing Group. All participants should bring laptops or tablets.",2017
Beth Hewett,Defend & Publish,NA,"Expanding Research Voices in Online Writing Instruction: Developing Plans, Building Projects, Finding Collaborators","Sponsored by the Online Writing Instruction Standing Group Participants will develop research projects in the area of online writing instruction (OWI) and form collaborative connections with colleagues, led by members of the OWI Standing Group. All participants should bring laptops or tablets.",2017
Sushil Oswal,University of Washington,NA,"Expanding Research Voices in Online Writing Instruction: Developing Plans, Building Projects, Finding Collaborators","Sponsored by the Online Writing Instruction Standing Group Participants will develop research projects in the area of online writing instruction (OWI) and form collaborative connections with colleagues, led by members of the OWI Standing Group. All participants should bring laptops or tablets.",2017
Rich Rice,Texas Tech University,NA,"Expanding Research Voices in Online Writing Instruction: Developing Plans, Building Projects, Finding Collaborators","Sponsored by the Online Writing Instruction Standing Group Participants will develop research projects in the area of online writing instruction (OWI) and form collaborative connections with colleagues, led by members of the OWI Standing Group. All participants should bring laptops or tablets.",2017
Jason Snart,College of DuPage,NA,"Expanding Research Voices in Online Writing Instruction: Developing Plans, Building Projects, Finding Collaborators","Sponsored by the Online Writing Instruction Standing Group Participants will develop research projects in the area of online writing instruction (OWI) and form collaborative connections with colleagues, led by members of the OWI Standing Group. All participants should bring laptops or tablets.",2017
Scott Warnock,Drexel University,NA,"Expanding Research Voices in Online Writing Instruction: Developing Plans, Building Projects, Finding Collaborators","Sponsored by the Online Writing Instruction Standing Group Participants will develop research projects in the area of online writing instruction (OWI) and form collaborative connections with colleagues, led by members of the OWI Standing Group. All participants should bring laptops or tablets.",2017
DÃ nielle Nicole DeVoss,Michigan State University/WRAC,NA,"Information Literacy and Intellectual Property in Writing Programs: Teaching Authorship, Citation, and Copyright beyond First-Year Writing","Sponsored by the Caucus on Intellectual Property and Composition/ Communication Studies This workshop will focus on information literacy and intellectual property in the context of writing certificates, minors, and majors.",2017
Alice Myatt,University of Mississippi,NA,"Information Literacy and Intellectual Property in Writing Programs: Teaching Authorship, Citation, and Copyright beyond First-Year Writing","Sponsored by the Caucus on Intellectual Property and Composition/ Communication Studies This workshop will focus on information literacy and intellectual property in the context of writing certificates, minors, and majors.",2017
Jessica Reyman,Northern Illinois University,NA,"Information Literacy and Intellectual Property in Writing Programs: Teaching Authorship, Citation, and Copyright beyond First-Year Writing","Sponsored by the Caucus on Intellectual Property and Composition/ Communication Studies This workshop will focus on information literacy and intellectual property in the context of writing certificates, minors, and majors.",2017
Jeremy Schnieder,Morningside College,NA,"Information Literacy and Intellectual Property in Writing Programs: Teaching Authorship, Citation, and Copyright beyond First-Year Writing","Sponsored by the Caucus on Intellectual Property and Composition/ Communication Studies This workshop will focus on information literacy and intellectual property in the context of writing certificates, minors, and majors.",2017
Veronica House,University of Colorado,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop.",2017
Paula Mathieu,Boston College,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop.",2017
Ellen Cushman,Northeastern University,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop.",2017
Paul Feigenbaum,Florida International University,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop.",2017
