presentation_title,speaker,institution,session_title,time,room,building,year,society
NA,John Alba Cutler,Northwestern Univ.,Writing in the Windy City: Chicago-Based Ethnic American Literary Cultures in K–12 Curricula,8:30–11:30 a.m.,Belmont,Chicago Marriott,2014,MLA
NA,Olga Herrera,Univ. of Saint Thomas,Writing in the Windy City: Chicago-Based Ethnic American Literary Cultures in K–12 Curricula,8:30–11:30 a.m.,Belmont,Chicago Marriott,2014,MLA
NA,Amanda Marek,Univ. of Saint Thomas,Writing in the Windy City: Chicago-Based Ethnic American Literary Cultures in K–12 Curricula,8:30–11:30 a.m.,Belmont,Chicago Marriott,2014,MLA
NA,Sonia Alejandra Rodriguez,Univ. of California,Writing in the Windy City: Chicago-Based Ethnic American Literary Cultures in K–12 Curricula,8:30–11:30 a.m.,Belmont,Chicago Marriott,2014,MLA
NA,Mirelsie Velazquez,Univ. of Illinois,Writing in the Windy City: Chicago-Based Ethnic American Literary Cultures in K–12 Curricula,8:30–11:30 a.m.,Belmont,Chicago Marriott,2014,MLA
NA,NA,NA,Engaging Pedagogy: A Hands-On Exploration of Student-Centered Approaches to Teaching Literature,8:30–11:30 a.m.,Addison,Chicago Marriott,2014,MLA
NA,NA,NA,Get Started in the Digital Humanities with Help from DHCommons,8:30–11:30 a.m.,Chicago A–B,Chicago Marriott,2014,MLA
NA,Kent Cartwright,Univ. of Maryland,Preconvention Workshop for Job Seekers in English,11:45 a.m.–1:15 p.m.,Gold,Fairmont Chicago,2014,MLA
NA,Malin Pereira,Univ. of North Carolina,Preconvention Workshop for Job Seekers in English,11:45 a.m.–1:15 p.m.,Gold,Fairmont Chicago,2014,MLA
NA,Cynthia Scheinberg,Mills Coll.,Preconvention Workshop for Job Seekers in English,11:45 a.m.–1:15 p.m.,Gold,Fairmont Chicago,2014,MLA
NA,Maggie Childs,Univ. of Kansas,Preconvention Workshop for Job Seekers in Foreign Languages,11:45 a.m.–1:15 p.m.,State,Fairmont Chicago,2014,MLA
NA,Sonja Rae Fritzsche,Illinois Wesleyan Univ.,Preconvention Workshop for Job Seekers in Foreign Languages,11:45 a.m.–1:15 p.m.,State,Fairmont Chicago,2014,MLA
NA,June Miyasaki,Los Angeles Valley Coll.,Preconvention Workshop for Job Seekers in Foreign Languages,11:45 a.m.–1:15 p.m.,State,Fairmont Chicago,2014,MLA
NA,Timothy Scheie,NA,Preconvention Workshop for Job Seekers in Foreign Languages,11:45 a.m.–1:15 p.m.,State,Fairmont Chicago,2014,MLA
NA,Luiz Fernando Valente,Brown Univ.,Preconvention Workshop for Job Seekers in Foreign Languages,11:45 a.m.–1:15 p.m.,State,Fairmont Chicago,2014,MLA
NA,Susan G. Polansky,NA,Preconvention Workshop: Strategic Planning for Defining and Securing Faculty Positions,11:45 a.m.–1:15 p.m.,Ambassador,Fairmont Chicago,2014,MLA
NA,Lisa Vollendorf,San José State Univ.,Preconvention Workshop: Strategic Planning for Defining and Securing Faculty Positions,11:45 a.m.–1:15 p.m.,Ambassador,Fairmont Chicago,2014,MLA
Lew Welch's Poetics of Appropriation,Michael S. Hennessey,Univ. of Cincinnati,Beat Artists and Language Writing,12:00 noon–1:15 p.m.,Chicago F,Chicago Marriott,2014,MLA
"West toward the Edge: Language Poetry, Utopian Form, and the Settler Colonial Imaginary",Alex Young,Univ. of Southern California,Beat Artists and Language Writing,12:00 noon–1:15 p.m.,Chicago F,Chicago Marriott,2014,MLA
"Unromantic Romanticists: Beat Poetics, Language Poetry, and the Romantic Inheritance",Rachel Feder,Rutgers Univ.,Beat Artists and Language Writing,12:00 noon–1:15 p.m.,Chicago F,Chicago Marriott,2014,MLA
