session_title,association,location,session_chair_name,session_chair_affiliation,session_respondent_name,session_respondent_affiliation,presenter_name,presenter_affiliation,presentation_title,year
Ballet ,AMS,H: Juneau,Davinia Caddy,University of Auckland,NA,NA,Erica Siegel,"University of California, Riverside",Vaughan Williams and the Reformation of Ballet in Britain,2014
Ballet ,AMS,H: Juneau,Davinia Caddy,University of Auckland,NA,NA,Anne Searcy,Harvard University,A Cold War Welcome: The American Reception of Prokofiev and His Choreographic Collaborators during the Bolshoi Ballet's 1959 Tour,2014
Ballet ,AMS,H: Juneau,Davinia Caddy,University of Auckland,NA,NA,Sarah Town,Princeton University,Dancing the Revolutionary Dystopia: NicolÃ¡s GuillÃ©n,2014
Ballet ,AMS,H: Juneau,Davinia Caddy,University of Auckland,NA,NA,Eftychia Papanikolaou,Bowling Green State University,Uwe Scholz's GroÃŸe Messe,2014
Chant ,AMS,W: 102 A,Alejandro Planchar,"University of California, Santa Barbara",NA,NA,Bibiana Gattozzi,Princeton University,Beneventan Notated Fragments in Abruzzo: Exchange and the Domestication of Plainchant in Southern Italy,2014
Chant ,AMS,W: 102 A,Alejandro Planchar,"University of California, Santa Barbara",NA,NA,James Maiello,University of Manitoba,The Epiphany Liturgy at Pistoia as an Expression of Episcopal Authority,2014
Chant ,AMS,W: 102 A,Alejandro Planchar,"University of California, Santa Barbara",NA,NA,Henry Parkes,Yale University,"Chant, Scripture, and Heresy in the Gregorian Antiphoner: A View from the Eleventh Century",2014
Chant ,AMS,W: 102 A,Alejandro Planchar,"University of California, Santa Barbara",NA,NA,Matthew Peattie,University of Cincinnati,Nuance-Rich Notation in Eleventh-Century Manuscripts from Benevento,2014
Eastern Borders ,AMS,H: Regency,Simon Morrison,Princeton University,NA,NA,Elise Bonner,Princeton University,Anti-French Villainies and Italian Opera at the Russian Court,2014
Eastern Borders ,AMS,H: Regency,Simon Morrison,Princeton University,NA,NA,Miriam Tripaldi,University of Chicago,"Dispelling the Western Myth: Opera, Mobility, Experimentation, and the Emergence of the Russian Nation in Saint Petersburg",2014
Eastern Borders ,AMS,H: Regency,Simon Morrison,Princeton University,NA,NA,Anne Marie Weaver,"Eastman School of Music, University of Rochester",Some Fuss about a Flea: Musorgsky's 'Mephistopheles's Song in Auerbach's Cellar' and Its Sources in,2014
Eastern Borders ,AMS,H: Regency,Simon Morrison,Princeton University,NA,NA,Kelly St. Pierre,Case Western Reserve University / Cleveland Institute of Music,Smetana's Music Battles and Wagner's Music Dramas: Investigating a Propaganda War,2014
Eighteenth-Century Opera and Dance ,AMS,W: 102 E,Mary Hunter,Bowdoin College,NA,NA,Don Fader,University of Alabama,"Le RÃ©gent en Bacchus? French Operatic Allegory, Noble",2014
Eighteenth-Century Opera and Dance ,AMS,W: 102 E,Mary Hunter,Bowdoin College,NA,NA,Bruce Alan Brown,University of Southern California,"Opera in France, Italy, and on the Moon, as Viewed by a Frenchman, Financier, and Philosophe",2014
Eighteenth-Century Opera and Dance ,AMS,W: 102 E,Mary Hunter,Bowdoin College,NA,NA,Joseph For,Harvard University,Joseph Haydn and the 1792 Ball of the Gesellschaft bildender KÃ¼nstler,2014
Eighteenth-Century Opera and Dance ,AMS,W: 102 E,Mary Hunter,Bowdoin College,NA,NA,John Platoff,Trinity College,"Francesco Benucci, Nancy Storace, and Sarti's Fra i due litiganti in Vienna",2014
The Final Frontier ,SMT,H: Walker,Nora Engebretsen,Bowling Green State University,NA,NA,Justin Lundberg,New England Conservatory,A Theory of Voice-Leading Sets for PostTonal Music,2014
The Final Frontier ,SMT,H: Walker,Nora Engebretsen,Bowling Green State University,NA,NA,John Muniz,Yale University,Rethinking Enharmonic Modulations: Notation and Tendency,2014
The Final Frontier ,SMT,H: Walker,Nora Engebretsen,Bowling Green State University,NA,NA,Hyunree Cho,"Seoul, Korea",Contextualized Musical Transformations and Inconsistent Multiplicity,2014
The Final Frontier ,SMT,H: Walker,Nora Engebretsen,Bowling Green State University,NA,NA,Marek Zabka,"Comenius University, Slovakia",The Tonnetz vs. Voice Leading in the Constructions of Abstract Musical Spaces: A Chicken-and-Egg Dilemma,2014
to Music Theory and Musicology ,AMS/SMT,W: 101 B,Johanna Devaney,Ohio State University,NA,NA,NA,NA,NA,2014
Musical Responses to World War I ,AMS,W: 102 C,Laura Watson,National University of Ireland Maynooth,NA,NA,Anya Holland-Barry,University of Wisconsin-Madison,French Music during World WarÂ I: La Gazette and Lili Boulanger,2014
Musical Responses to World War I ,AMS,W: 102 C,Laura Watson,National University of Ireland Maynooth,NA,NA,Lesley Hughes,University of Wisconsin-Madison,Irony through Instrumentation: Hindemith's Quintet for Clarinet and String Quartet and the Great War,2014
Musical Responses to World War I ,AMS,W: 102 C,Laura Watson,National University of Ireland Maynooth,NA,NA,Michelle Meinhar,Martin Methodist College,Singing Tommies and their 'Stourhead Mother': An Unlikely Musical Family in an English Country House during the First,2014
Musical Responses to World War I ,AMS,W: 102 C,Laura Watson,National University of Ireland Maynooth,NA,NA,Christopher Scheer,Utah State University,Dancing at the Rebirth of the World: Holst's Hymn of Jesus and the First World War,2014
Nineteenth-Century Form ,SMT,W: 101 A,Steven Vande Moortele,University of Toronto,NA,NA,Jonathan Guez,Yale University,Process and Symmetry in Schubert's Expanded Type 1 Sonatas,2014
Nineteenth-Century Form ,SMT,W: 101 A,Steven Vande Moortele,University of Toronto,NA,NA,Edward D. Latham,Temple University,'Beautiful Infinity': The Permanent Interruption as a Symbol of Romantic Distance in the Music of Robert Schumann,2014
Nineteenth-Century Form ,SMT,W: 101 A,Steven Vande Moortele,University of Toronto,NA,NA,Anders Tobiason,University of Wisconsin-Madison,Rotational Form and the Price of Assimilation in Schubert's 'Sei mir gegrÃ¼sst',2014
Nineteenth-Century Form ,SMT,W: 101 A,Steven Vande Moortele,University of Toronto,NA,NA,Michael Baker,University of Kentucky,Multiply-Interrupted Structure in Clara Schumann's 'Liebst du um SchÃ¶nheit',2014
Producing Classic Recordings ,AMS,H: Crystal Ballroom,Arved Ashby,Ohio State University,NA,NA,Philip Gentry,University of Delaware,Walter Legge's Tristan and the Magnetophonic Imagination,2014
Producing Classic Recordings ,AMS,H: Crystal Ballroom,Arved Ashby,Ohio State University,NA,NA,Lucille Mok,Harvard University,"Take Twenty-One: Technological Virtuosity and Glenn Gould's Goldberg Variations, 1954 to 1959",2014
Producing Classic Recordings ,AMS,H: Crystal Ballroom,Arved Ashby,Ohio State University,NA,NA,Darren Mueller,Duke University,Producing 'Timeless' Music: Manfred Eicher and the,2014
Producing Classic Recordings ,AMS,H: Crystal Ballroom,Arved Ashby,Ohio State University,NA,NA,Jacob Sagrans,McGill University,"Allegri's Miserere and the Choir of King's College, Cambridge: The Story of a Standard Recording",2014
Racialized Boundaries ,AMS,W: 103 C,Charles Hiroshi Garre,University of Michigan,NA,NA,Samuel Dwinell,Cornell University,'Indecent Anguish of the Quivering Flesh': Queer Intimacies of the Black Atlantic in Michael Tippett's The Knot Garden,2014
Racialized Boundaries ,AMS,W: 103 C,Charles Hiroshi Garre,University of Michigan,NA,NA,Tamara Levitz,"University of California, Los Angeles",In the Shadow of the Zoot Suit Riots: Racial Exclusion and the Foundations of Music History,2014
Racialized Boundaries ,AMS,W: 103 C,Charles Hiroshi Garre,University of Michigan,NA,NA,Key to room abbreviations: H: Hilton; W: Wisconsin Center John McCluskey,University of Kentucky,'This is Ghetto Row': Musical Segregation in American College Football,2014
Racialized Boundaries ,AMS,W: 103 C,Charles Hiroshi Garre,University of Michigan,NA,NA,Ken McLeod,University of Toronto,Holograms and Techno-Spirituality in Recent Rap Music,2014
Rocky Relationships ,SMT,W: 103 DE,Christopher Doll,Rutgers University,NA,NA,Robin Attas,Elon University,Meter and Motion in Pop/Rock Backbeats,2014
Rocky Relationships ,SMT,W: 103 DE,Christopher Doll,Rutgers University,NA,NA,Drew Nobile,University of Chicago,Harmonic Function in Rock Music: A Syntactical Approach,2014
Rocky Relationships ,SMT,W: 103 DE,Christopher Doll,Rutgers University,NA,NA,Guy Capuzzo,"University of North Carolina, Greensboro",A Beat-Class Approach to Polyrhythm in the Music of Meshuggah,2014
Rocky Relationships ,SMT,W: 103 DE,Christopher Doll,Rutgers University,NA,NA,Nathaniel Condit-Schultz and Claire Arthur,Ohio State University,"Beat and Switch: Multi-stable Rhythms, Metric Ambiguity, and Rock & Roll Fake-Outs",2014
Theorists vs. Theorists ,SMT,W: 102 B,Henry Klumpenhouwer,"Eastman School of Music, University of Rochester",NA,NA,Maryam A. Moshaver,University of Alberta,Fundamental Bass and Metalanguage: An Anatomy of Two Analytical Practices,2014
Theorists vs. Theorists ,SMT,W: 102 B,Henry Klumpenhouwer,"Eastman School of Music, University of Rochester",NA,NA,Ãine Heneghan,University of Michigan,Schoenberg's Sentence,2014
Theorists vs. Theorists ,SMT,W: 102 B,Henry Klumpenhouwer,"Eastman School of Music, University of Rochester",NA,NA,Daniel Walden,Harvard University,Musica Prisca Caput: Vitruvian Music Theory and Enharmonicism in Sixteenth-Century Italy,2014
Theorists vs. Theorists ,SMT,W: 102 B,Henry Klumpenhouwer,"Eastman School of Music, University of Rochester",NA,NA,Joon Park,University of Oregon,The Monochord = (Motion + Space) = Musical Motion,2014
Source Studies ,AMS,H: Mitchell,Benjamin Korstved,Clark University,NA,NA,Mario Aschauer,Sam Houston State University,Organizing the Workshop: How Bruckner Acquired His Compositional Process,2014
Source Studies ,AMS,H: Mitchell,Benjamin Korstved,Clark University,NA,NA,Paul Bertagnolli,University of Houston,'At Merlin's Feet the Wily Vivien Lay': A New Program in the Manuscript Sources for Edward MacDowell's Sonata Eroica,2014
Britten's Texts ,AMS,H: Mitchell,Philip Rupprech,Duke University,NA,NA,Christopher Chowrimootoo,University of Notre Dame,"The Turn of the Screw, or: The Gothic Melodrama of Modernism",2014
Britten's Texts ,AMS,H: Mitchell,Philip Rupprech,Duke University,NA,NA,Kevin Salfen,University of the Incarnate Word,Reading Montagu Slater's Peter Grimes,2014
After the Post ,SMT,W: 103 DE,Jonathan Bernard,University of Washington,NA,NA,Aaron Harcus,"Graduate Center, CUNY","Varieties of Pitch Presence: Process, Gesture, and the Excessive Polyvalence of Pitch in Atonal Music",2014
After the Post ,SMT,W: 103 DE,Jonathan Bernard,University of Washington,NA,NA,Sean Atkinson,Texas Christian University,Steve Reich's Phase Music Reconsidered,2014
After the Post ,SMT,W: 103 DE,Jonathan Bernard,University of Washington,NA,NA,Brett Clemen,Ball State University,Frank Zappa and Atonality,2014
After the Post ,SMT,W: 103 DE,Jonathan Bernard,University of Washington,NA,NA,John Roeder,University of British Columbia,Formative Processes in Post-Tonal Canons,2014
Digital Musicology: New Cooperative Initiatives ,AMS,W: 102 A,Frances Barulich,Morgan Library & Museum,NA,NA,Bonna J. Boettcher,Cornell University,The Contemporary Composers Web Archive,2014
Digital Musicology: New Cooperative Initiatives ,AMS,W: 102 A,Frances Barulich,Morgan Library & Museum,NA,NA,Judy Tsou,University of Washington,The Crisis Confronting Twenty-First-Century Sound Recording Collections,2014
Digital Musicology: New Cooperative Initiatives ,AMS,W: 102 A,Frances Barulich,Morgan Library & Museum,NA,NA,Darwin F. Sco,Princeton University,The Blue Mountain Project: A Digital Archive of Modernist Arts Journals,2014
Digital Musicology: New Cooperative Initiatives ,AMS,W: 102 A,Frances Barulich,Morgan Library & Museum,NA,NA,Sarah J. Adams,Harvard University,The RISM OPAC: Next Stages,2014
Digital Musicology: New Cooperative Initiatives ,AMS,W: 102 A,Frances Barulich,Morgan Library & Museum,NA,NA,Jane Gottlieb,The Juilliard School,The Music Treasures,2014
Partimenti ,SMT,H: Mitchell,Michael Callahan,Michigan State University,NA,NA,Joshua W. Mills,Florida State University,"Partimenti, Imitatio, and Exempla: Exploring",2014
Partimenti ,SMT,H: Mitchell,Michael Callahan,Michigan State University,NA,NA,Simon Prosser,"Graduate Center, CUNY",Some Dispositiones of the Fonte Schema,2014
Partimenti ,SMT,H: Mitchell,Michael Callahan,Michigan State University,NA,NA,Stefan Ecker,Eastern Illinois University,Aspects of Partimento Practice in Joseph Riepel's AnfangsgrÃ¼nde zur musikalischen Setzkunst,2014
Partimenti ,SMT,H: Mitchell,Michael Callahan,Michigan State University,NA,NA,Robert O. Gjerdingen,Northwestern University,Harmony without Theory: Apprenticeship at the Paris Conservatory,2014
Partimenti ,SMT,H: Mitchell,Michael Callahan,Michigan State University,NA,NA,Nicholas Johnson,Butler University,Reviving the American Musical Past: The Rejection of Technology in the Modern String Band,2014
Partimenti ,SMT,H: Mitchell,Michael Callahan,Michigan State University,NA,NA,Matthew Richardson,Northwestern University,Vulnerable Voices and the Production of Affect in Japanese Idol Pop,2014
Partimenti ,SMT,H: Mitchell,Michael Callahan,Michigan State University,NA,NA,Michael D'Errico,"University of California, Los Angeles",Off the Grid: Self-Effacing Production in Juke and Footwork,2014
Partimenti ,SMT,H: Mitchell,Michael Callahan,Michigan State University,NA,NA,Mimi Haddon,McGill University,Free-Reeding and the 'Plaintive Cry' of the Exotic: Understanding Post-Punk's Relationship to Dub through the Materiality of the Melodica,2014
Toward a Theory of Music Patronage Post-1900 ,AMS,W: 101 B,Jeanice Brooks,University of Southampton,Emily Richmond Pollock,Massachusetts Institute of Technology,NA,NA,NA,2014
Romantic Aesthetics ,SMT,H: Walker,Berthold Hoeckner,University of Chicago,NA,NA,Judith Ofcarcik,Fort Hays State University,The Aesthetics of Rupture: Adorno and the Adagio of Beethoven's Ninth Symphony,2014
Romantic Aesthetics ,SMT,H: Walker,Berthold Hoeckner,University of Chicago,NA,NA,Anna Gawboy,Ohio State University,The Musical Opus as Magnum Opus: Organicist,2014
Main Title Music ,SMT,W: 101 A,Mark Richards,University of Lethbridge,Scott Murphy,University of Kansas,James Buhler,University of Texas at Austin,Branding the Franchise: Music and the (Corporate) Myth of Origin,2014
Main Title Music ,SMT,W: 101 A,Mark Richards,University of Lethbridge,Scott Murphy,University of Kansas,Key to room abbreviations: H: Hilton; W: Wisconsin Center Frank Lehman,Tufts University,Intra-Phrasal Chromaticism and Formal Structures in Korngold's Main Titles,2014
Main Title Music ,SMT,W: 101 A,Mark Richards,University of Lethbridge,Scott Murphy,University of Kansas,Charity Lofthouse,Hobart and William Smith Colleges,Identification and Alienation: Subjectivities in the Main-Title Music of Alien-Themed Films,2014
Sense and Sensibility ,SMT,H: Walker,Philip Rupprech,Duke University,NA,NA,Marianne Kielian-Gilber,Indiana University,"'Compassion with the Abyss': Sensory Estrangement in Britten's Late Works Death in Venice, op. 88 and Phaedra, op. 93",2014
Sense and Sensibility ,SMT,H: Walker,Philip Rupprech,Duke University,NA,NA,Eloise Boisjoli,University of Texas at Austin,Defining Sensibility: A Topical World in the Slow Movements of Haydn's String Quartets,2014
Cinematic Sounds ,AMS,H: Crystal Ballroom,Daniel Goldmark,Case Western Reserve University,NA,NA,Alexandra Monchick,"California State University, Northridge",BÃ©la BalÃ¡zs's 'Last Take': An Operatic Tribute to Silent Film,2014
Cinematic Sounds ,AMS,H: Crystal Ballroom,Daniel Goldmark,Case Western Reserve University,NA,NA,Charles E. Brewer,Florida State University,Alec Wilder's 'Fall' from the Avant Garde,2014
Cinematic Sounds ,AMS,H: Crystal Ballroom,Daniel Goldmark,Case Western Reserve University,NA,NA,Berthold Hoeckner,University of Chicago,"Film, Music, Affective Economies",2014
Cinematic Sounds ,AMS,H: Crystal Ballroom,Daniel Goldmark,Case Western Reserve University,NA,NA,Carolyn Abbate,Harvard University,Sound Object Lessons,2014
France Making a Spectacle of Itself ,AMS,W: 102 B,Stephen Rumph,University of Washington,NA,NA,Kimberly White,University of Southampton,Offenbach's Madame Favart and the Business of Performing,2014
France Making a Spectacle of Itself ,AMS,W: 102 B,Stephen Rumph,University of Washington,NA,NA,Julianne Lindberg,"University of Nevada, Reno","In Search of Lost Time: Nostalgia, Exile, and FaurÃ©'s Dolly",2014
