session_title,association,location,session_chair_name,session_chair_affiliation,session_respondent_name,session_respondent_affiliation,presenter_name,presenter_affiliation,presentation_title
Musical Literacy in the Early Middle Ages ,AMS,Grand Ballroom A,Peter Jeffery,University of Notre Dame,NA,NA,Daniel DiCenso,College of the Holy Cross,Literacy and Transmission in the Earliest Mass-Chant Books: A Perspective from Neuroscience
Musical Literacy in the Early Middle Ages ,AMS,Grand Ballroom A,Peter Jeffery,University of Notre Dame,NA,NA,Henry Parkes,Yale University,Remembering or Dismembering? The Implications of Written Collections for Early Medieval Trope Performance
Musical Literacy in the Early Middle Ages ,AMS,Grand Ballroom A,Peter Jeffery,University of Notre Dame,NA,NA,Emma Hornby and Rebecca Maloy,University of Bristol / University of Colorado Boulder,Melodic Language and Musical Literacy in the Old Hispanic Chant
History of Music Theory ,SMT,Junior Ballroom C,Frank Heidlberger,University of North Texas,Stephen Hinton,Stanford University,Frank Heidlberger,University of North Texas,'What Is the History of Music Theory?' Dahlhaus's Essay and its Relevance for the Current Understanding of the Discipline
History of Music Theory ,SMT,Junior Ballroom C,Frank Heidlberger,University of North Texas,Stephen Hinton,Stanford University,Jan Philipp Sprick,"Hochschule fÃ¼r Musik und Theater, Rostock",On the Implicit and Explicit Reception of Dahlhaus's 'Was heiÃŸt Geschichte der Musiktheorie?'
History of Music Theory ,SMT,Junior Ballroom C,Frank Heidlberger,University of North Texas,Stephen Hinton,Stanford University,Nathan John Martin,University of Michigan,Dahlhaus's 'Was heiÃŸt Geschichte der
History of Music Theory ,SMT,Junior Ballroom C,Frank Heidlberger,University of North Texas,Stephen Hinton,Stanford University,"Musiktheorie?' Between Kuhn and Weber"" Thomas Christensen",University of Chicago,Dahlhaus and the Origins of the Origin
History of Music Theory ,SMT,Junior Ballroom C,Frank Heidlberger,University of North Texas,Stephen Hinton,Stanford University,Stefano Mengozzi,University of Michigan,The History of Music Theory after Dahlhaus's Studies on the Origin of Harmonic Tonality: On the Relationship between Musical Concepts
History of Music Theory ,SMT,Junior Ballroom C,Frank Heidlberger,University of North Texas,Stephen Hinton,Stanford University,Gesine SchrÃ¶der,"UniversitÃ¤t fÃ¼r Musik und darstellende Kunst Wien/Hochschule fÃ¼r Musik und Theater ""Felix Mendelssohn Bartholdy""",Theorist and Teacher of Theory: Carl Dahlhaus as a Model for the Classroom Teaching of Music Theory at German Conservatories
Colonial Music in the New World ,AMS,Grand Ballroom B,Louise K. Stein,University of Michigan,NA,NA,Lorenzo Candelaria,University of Texas at El Paso,Pedro de Gante and the Creation of Euro-Mexica Catholic Song in Sixteenth-Century New Spain
Colonial Music in the New World ,AMS,Grand Ballroom B,Louise K. Stein,University of Michigan,NA,NA,Sarah Eyerly,Florida State University,Mozart and the Moravians
Colonial Music in the New World ,AMS,Grand Ballroom B,Louise K. Stein,University of Michigan,NA,NA,Faith S. Lanam,"University of California, Santa Cruz","Mothers, Sisters, NiÃ±as, and Nuns: The Professional Training of Young Female Musicians of Colonial Mexico"
Colonial Music in the New World ,AMS,Grand Ballroom B,Louise K. Stein,University of Michigan,NA,NA,Alejandro Vera,Pontificia Universidad Catolica de Chile,The Globalization of Instrumental Music in the Late Eighteenth Century: Reception and Transmission of the Galant-Classical
Extending Topic Theory ,SMT,Pavilion Ballroom D,Danuta Mirka,University of Southampton,NA,NA,Martha E. Sullivan,Rutgers University,"The Siren Topos, Male Anxiety, and Female Agency"
Extending Topic Theory ,SMT,Pavilion Ballroom D,Danuta Mirka,University of Southampton,NA,NA,Johanna Frymoyer,Indiana University,Octatonic and Ombra: The Russian Supernatural as a Musical Topic
Extending Topic Theory ,SMT,Pavilion Ballroom D,Danuta Mirka,University of Southampton,NA,NA,Thomas Johnson,"Graduate Center, CUNY",Lying About Tonality: A New World of Topic in Early Twentieth-Century Modernist Music
